sep=;
Journal; Year; Authors; Title; Paper Ref; Country
Clinical spine surgery; 2023 Jun 19; ['Gallagher DO', 'Taghlabi KM', 'Bondar K', 'Saifi C']; Degenerative Cervical Myelopathy: A Concept Review and Clinical Approach.; 38285428
Global spine journal; 2024 Jan 3; ['Mohammadi M', 'Roohollahi F', 'Mahmoudi MM', 'Mohammadi A', 'Mohamadi M', 'Kankam SB', 'Ghamari Khameneh A', 'Baghdasaryan D', 'Farahbakhsh F', 'Martin AR', 'Harrop J', 'Rahimi-Movaghar V']; Correlation Between Pre-Operative Diffusion Tensor Imaging Indices and Post-Operative Outcome in Degenerative Cervical Myelopathy: A Systematic Review and Meta-Analysis.; 38168663
Journal of orthopaedic surgery and research; 2024 Jan 3; ['Wang ZJ', 'Du Q', 'Wang SF', 'Su H', 'He W', 'Liao WB', 'Xin ZJ', 'Kong WJ']; Anterior transcorporeal approach combined with posterior translaminar approach in percutaneous endoscopic cervical discectomy for two-segment cervical disc herniation treatment: a technical report and early follow-up.; 38167157
BMC musculoskeletal disorders; 2024 Jan 2; ['Chen Z', 'Lv G', 'Zhang O', 'Li Y', 'Wang X', 'He H', 'Yuan H', 'Pan C', 'Kuang L']; Risk factors of instrumentation failure after laminectomy and posterior cervical fusions (PCF).; 38166792
Neuro-Chirurgie; 2023 Dec 30; ["d'Artigues J", 'Farah K', 'Meyer M', 'Fuentes S']; The "Bevel drilling" for degenerative cervical myelopathy: A technical note with illustrative video.; 38163583
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia; 2023 Dec 29; ['Schär RT', 'Ginsberg HJ']; Disappearing discs after posterior cervical fusion.; 38159422
Clinical spine surgery; 2023 Dec 28; ['Takenaka S', 'Kaito T', 'Fujimori T', 'Kanie Y', 'Okada S']; Risk Factor Analysis of Surgery-related Complications in Primary Thoracic Spine Surgery for Degenerative Diseases and Characteristics of the Patients Also Undergoing Surgery on the Cervical and/or Lumbar Spine.; 38158614
Acta neurochirurgica. Supplement; ; ['Chibbaro S', 'Cornelius JF', 'Mallereau CH', 'Bruneau M', 'Zaed I', 'Visocchi M', 'Maduri R', 'Todeschi J', 'Bruno C', 'George B', 'Froelich S', 'Ganau M']; Lateral Approach to the Cervical Spine to Manage Degenerative Cervical Myelopathy and Radiculopathy.; 38153490
Acta neurochirurgica. Supplement; ; ['Cappelletto B', 'Rispoli R', 'Robiony M', 'Tel A']; Computerized Three-Dimensional Analysis: A Novel Method to Assess the Effect of Open-Door Laminoplasty.; 38153485
Acta neurochirurgica. Supplement; ; ['Visocchi M', 'Marino S', 'Ducoli G', 'Barbagallo GMV', 'Pasqualino C', 'Signorelli F']; Hybrid Implants in Anterior Cervical Spine Surgery: The State of the Art and New Trends for Multilevel Degenerative Disc Disease.; 38153478
Acta neurochirurgica. Supplement; ; ['Zoli A', 'Leone F', 'Zoli A', 'Visocchi M']; Rheumatoid Diseases Involving the Cervical Spine I. History, Definition, and Diagnosis: New Trends and Technologies.; 38153469
Medical & biological engineering & computing; 2023 Dec 27; ['Xu ML', 'Yang YT', 'Zeng HZ', 'Cao YT', 'Zheng LD', 'Jin C', 'Zhu SJ', 'Zhu R']; Finite element modeling and analysis of effect of preexisting cervical degenerative disease on the spinal cord during flexion and extension.; 38148413
Global spine journal; 2023 Dec 26; ['Rujeedawa T', 'Mowforth OD', 'Davies BM', 'Yang C', 'Nouri A', 'Francis JJ', 'Aarabi B', 'Kwon BK', 'Harrop J', 'Wilson JR', 'Martin AR', 'Rahimi-Movaghar V', 'Guest JD', 'Fehlings MG', 'Kotter MR']; Degenerative Thoracic Myelopathy: A Scoping Review of Epidemiology, Genetics, and Pathogenesis.; 38146739
Asian spine journal; 2023 Dec 26; ['Lee DH', 'Lee HR', 'Riew KD']; An Algorithmic Roadmap for Surgical Management of Degenerative Cervical Myelopathy: A Narrative Review.; 38146052
Spinal cord; 2023 Dec 21; ['Brannigan JFM', 'Davies BM', 'Mowforth OD', 'Yurac R', 'Kumar V', 'Dejaegher J', 'Zamorano JJ', 'Murphy RKJ', 'Tripathi M', 'Anderson DB', 'Harrop J', 'Molliqaj G', 'Wynne-Jones G', 'Arbatin JJF', 'Kato S', 'Ito M', 'Wilson J', 'Romelean R', 'Dea N', 'Graves D', 'Tessitore E', 'Martin AR', 'Nouri A']; Management of mild degenerative cervical myelopathy and asymptomatic spinal cord compression: an international survey.; 38129661
Spine; 2023 Dec 21; ['Tamai K', 'Terai H', 'Iwamae M', 'Kato M', 'Toyoda H', 'Suzuki A', 'Takahashi S', 'Sawada Y', 'Okamura Y', 'Kobayashi Y', 'Nakamura H']; Residual Paresthesia after Surgery for Degenerative Cervical Myelopathy: Incidence and Impact on Clinical Outcomes and Satisfaction.; 38126538
International journal of spine surgery; 2023 Dec 19; ['Chong LSL', 'Zhu M', 'Baker JF']; Quality Assessment of Degenerative Cervical Myelopathy Information on the Internet.; 38123985
International journal of spine surgery; 2023 Dec 26; ['Pohl P', 'Bettoni Volpato HB', 'Fernandes LS', 'Sauma ML', 'Yurube T', 'Bang G', 'Medéa de Mendonça RG', 'Reis Rodrigues LM', 'Lenza M']; Development and Validation of the 17-Point Brazilian Portuguese Translated Version of the Modified Japanese Orthopedic Association Score (mJOA-BR17).; 38123366
Scientific reports; 2023 Dec 19; ['Lebret A', 'Lévy S', 'Pfender N', 'Farshad M', 'Altorfer FCS', 'Callot V', 'Curt A', 'Freund P', 'Seif M']; Investigation of perfusion impairment in degenerative cervical myelopathy beyond the site of cord compression.; 38114733
EBioMedicine; 2023 Dec 19; ['Rafati Fard A', 'Mowforth OD', 'Yuan M', 'Myrtle S', 'Lee KS', 'Banerjee A', 'Khan M', 'Kotter MR', 'Newcombe VFJ', 'Stamatakis EA', 'Davies BM']; Brain MRI changes in degenerative cervical myelopathy: a systematic review.; 38113760
European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society; 2023 Dec 19; ['de Dios E', 'Löfgren H', 'Laesser M', 'Lindhagen L', 'Björkman-Burtscher IM', 'MacDowall A']; Comparison of the patient-derived modified Japanese Orthopaedic Association scale and the European myelopathy score.; 38112768
Spine; 2023 Dec 19; ['Liang G', 'Ye Y', 'Zheng S', 'Liao T', 'Wu W', 'Chen C', 'Chen J', 'Chang Y']; Classifying Hand Dexterity Impairment in Degenerative Cervical Myelopathy with 10-Second Grip and Release Test.; 38112277
The spine journal : official journal of the North American Spine Society; 2023 Dec 16; ['Miller AK', 'Zakko P', 'Park DK', 'Chang VW', 'Schultz L', 'Springer K', 'Hamilton TM', 'Abdulhak MM', 'Schwalb JM', 'Nerenz DR', 'Aleem IS', 'Khalil JG']; Cervical disc arthroplasty versus anterior cervical discectomy and fusion: an analysis of the Michigan spine surgery improvement collaborative database.; 38110089
Journal of veterinary internal medicine; 2023 Dec 14; ['Brown KA', 'Bender SJ', 'Johnson AL']; Clinical and histopathological features in horses with neuroaxonal degeneration: 100 cases (2017-2021).; 38095342
Spine; 2023 Dec 11; ['Li X', 'Wang H', 'Xu Z', 'Lu Z', 'Zhang W', 'Wang Y', 'Wang J', 'Zang F', 'Yuan W', 'Chen H', 'Wu X']; A Pilot Study of a Finger Kinematic Parameter-Based Tool for Evaluating Degenerative Cervical Myelopathy.; 38073193
Sensors (Basel, Switzerland); 2023 Dec 1; ['Lin M', 'Paul R', 'Liao X', 'Doulgeris J', 'Menzer EL', 'Dhar UK', 'Tsai CT', 'Vrionis FD']; A New Method to Evaluate Pressure Distribution Using a 3D-Printed C2-C3 Cervical Spine Model with an Embedded Sensor Array.; 38067922
Cureus; 2023 Nov 5; ['Burile G', 'Jawade S', 'Seth N']; The Scope of Physiotherapy Rehabilitation in Compressive Myelopathy Managed by Spinal Fusion: A Case Report.; 38058338
Frontiers in neurology; 2023 Nov 17; ['Shakil H', 'Santaguida C', 'Wilson JR', 'Farhadi HF', 'Levi AD', 'Wilcox JT']; Pathophysiology and surgical decision-making in central cord syndrome and degenerative cervical myelopathy: correcting the somatotopic fallacy.; 38046579
Journal of neurosurgery. Spine; 2023 Dec 1; ['Quiceno E', 'Hussein A', 'Pico A', 'Abdulla E', 'Bauer IL', 'Nosova K', 'Orenday-Barraza J', 'Moniakis A', 'Khan MA', 'Prim M', 'Baaj AA']; C2 versus C3 or C4 as the upper instrumented vertebra for long-segment cervical fusions: a systematic review and meta-analysis.; 38039517
Clinical spine surgery; 2023 Jun 19; ['Firempong GK', 'Sheppard WL', 'Gelfand Y', 'Ellingson BM', 'Holly LT']; Spinal Cord Signal Intensity Predicts Functional Outcomes in the Operative Management of Degenerative Cervical Myelopathy.; 38031316
Radiology case reports; 2023 Nov 8; ['Sardi J', 'Chavez-Yenter A', 'Wendell LC', 'Sasson JP', 'Wood MJ']; Acute abducens nerve palsy from a complex retro-odontoid pseudotumor with a protrusion: A case report.; 38028298
Cureus; 2023 Nov 27; ['Saunders LM', 'Sandhu HS', 'McBride L', 'Maniarasu VS', 'Taylor S', 'Dhokia R']; A Retrospective Study of Degenerative Cervical Myelopathy and the Surgical Management Within Northern Ireland.; 38024056
Cureus; 2023 Oct 27; ['Avon JT', 'Scott GJ', 'Bowling SM', 'Jones M']; Cervical Spondylotic Myelopathy Presenting as Peripheral Nerve Disease: A Case Report.; 38022189
Cureus; 2023 Oct 12; ['Awada Z', 'Saba S', 'Harel A']; Utility of Flexion and Extension MRI for Evaluating Isolated Cervical Spinal Cord Lesions: A Case Series.; 38021920
Frontiers in neurology; 2023 Nov 8; ['Pfender N', 'Rosner J', 'Zipser CM', 'Friedl S', 'Schubert M', 'Sutter R', 'Klarhoefer M', 'Spirig JM', 'Betz M', 'Freund P', 'Farshad M', 'Curt A', 'Hupp M']; Increased cranio-caudal spinal cord oscillations are the cardinal pathophysiological change in degenerative cervical myelopathy.; 38020663
Clinical neurology and neurosurgery; 2023 Nov 7; ['Wang J', 'Gao C', 'Zang F', 'Fu C', 'Hu B', 'Liang L', 'Yuan W', 'Chen H']; Predictive value of vertebral Hounsfiled Unit for titanium mesh cage subsidence following ACCF surgery.; 37984212
Brain pathology (Zurich, Switzerland); 2023 Nov 16; ['Ando T', 'Riku Y', 'Akagi A', 'Miyahara H', 'Uematsu T', 'Aiba I', 'Sone J', 'Katsuno M', 'Yoshida M', 'Iwasaki Y']; Degeneration of olivospinal tract in the upper cervical spinal cord of multiple system atrophy patients: Reappraisal of Helweg's triangular tract.; 37972988
Journal of neurosurgical sciences; 2023 Nov 16; ['Rispoli R', 'Lettieri C', 'Pauletto G', 'Valiante G', 'Tereshko Y', 'Cappelletto B']; Limits and usefulness of intraoperative evoked potentials during laminoplasty.; 37971495
The American journal of case reports; 2023 Nov 11; ['Kinoshita H', 'Hongo M', 'Kasukawa Y', 'Kudo D', 'Kimura R', 'Miyakoshi N']; Two Cases of Degenerative Cervical Spondylotic Myelopathy in Adults with Athetoid and Dystonic Cerebral Palsy.; 37950431
NeuroImage; 2023 Nov 8; ['Guo X', 'Li J', 'Su Q', 'Song J', 'Cheng C', 'Chu X', 'Zhao R']; Transcriptional correlates of frequency-dependent brain functional activity associated with symptom severity in degenerative cervical myelopathy.; 37949259
BMC medical imaging; 2023 Nov 9; ['de Dios E', 'Laesser M', 'Björkman-Burtscher IM', 'Lindhagen L', 'MacDowall A']; MRI-based measurements of spondylolisthesis and kyphosis in degenerative cervical myelopathy.; 37946139
Clinical spine surgery; 2023 Nov 1; ['Tanaka A', 'Onishi E', 'Hashimura T', 'Ota S', 'Takeuchi H', 'Tsukamoto Y', 'Yamashita S', 'Mitsuzawa S', 'Yasuda T']; Risk Factors for Reintubation After Anterior Cervical Spine Surgery: Comparative Study of Patients With Cervical Spine Trauma and Patients With Cervical Degenerative Disease.; 37941121
Frontiers in microbiology; 2023 Oct 20; ['Farkas C', 'Retamal-Fredes E', 'Ávila A', 'Fehlings MG', 'Vidal PM']; Degenerative Cervical Myelopathy induces sex-specific dysbiosis in mice.; 37928672
European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society; 2023 Nov 5; ['Khan AF', 'Mohammadi E', 'Haynes G', 'Hameed S', 'Rohan M', 'Anderson DB', 'Weber KA 2nd', 'Muhammad F', 'Smith ZA']; Evaluating tissue injury in cervical spondylotic myelopathy with spinal cord MRI: a systematic review.; 37926719
Spinal cord; 2023 Nov 2; ['Filimonova E', 'Letyagin V', 'Zaitsev B', 'Kubetsky Y', 'Rzaev J']; Application of the T1w/T2w mapping technique for spinal cord assessment in patients with degenerative cervical myelopathy.; 37919382
The spine journal : official journal of the North American Spine Society; 2023 Nov 1; ['Malhotra AK', 'He Y', 'Harrington EM', 'Jaja BNR', 'Zhu MP', 'Shakil H', 'Dea N', 'Weber MH', 'Attabib N', 'Phan P', 'Rampersaud YR', 'Paquet J', 'Jacobs WB', 'Cadotte DW', 'Christie SD', 'Nataraj A', 'Bailey CS', 'Johnson M', 'Fisher C', 'Hall H', 'Manson N', 'Thomas K', 'Ginsberg HJ', 'Fehlings MG', 'Witiw CD', 'Davis AM', 'Wilson JR']; Development of the cervical myelopathy severity index: a new patient reported outcome measure to quantify impairments and functional limitations.; 37918571
Global spine journal; 2023 Nov 2; ['Jiang Z', 'Davies B', 'Zipser C', 'Margetis K', 'Martin A', 'Matsoukas S', 'Zipser-Mohammadzada F', 'Kheram N', 'Boraschi A', 'Zakin E', 'Obadaseraye OR', 'Fehlings MG', 'Wilson J', 'Yurac R', 'Cook CE', 'Milligan J', 'Tabrah J', 'Widdop S', 'Wood L', 'Roberts EA', 'Rujeedawa T', 'Tetreault L', 'AO Spine RECODE-DCM Diagnostic Criteria Incubator']; The Frequency of Symptoms in Patients With a Diagnosis of Degenerative Cervical Myelopathy: Results of a Scoping Review.; 37917661
Cureus; 2023 Oct 1; ['Lor KKH', 'Decruz J', 'Ang ML', 'Pang BC', 'Yang E']; Compressive Postoperative Seromas Causing Delayed Neurological Deterioration Following Cervical Laminectomy and Instrumented Fusion.; 37916260
North American Spine Society journal; 2023 May 2; ['Lightsey HM 4th', 'Georgakas PJ', 'Lindsey MH', 'Yeung CM', 'Schwab JH', 'Fogel HA', 'Hershman SH', 'Tobert DG', 'Hwang KM']; Inpatient opioid use varies by construct length among laminoplasty versus laminectomy and fusion patients.; 37915966
; ; ['Selph SS', 'Skelly AC', 'Jungbauer RM', 'Brodt E', 'Blazina I', 'Philipp TC', 'Mauer KM', 'Dettori J', 'Atchison C', 'Riopelle D', 'Stabler-Morris S', 'Fu R', 'Yu Y', 'Chou R']; ; 38011299
Journal of neurosurgery. Case lessons; 2023 Oct 9; ['Kodama H', 'Kawamura N', 'Ohya J', 'Onishi Y', 'Horii C', 'Nishizawa M', 'Sekimizu M', 'Ishino Y', 'Kunogi J']; Two-year results of single-level fixation with lateral mass screws for cervical degenerative spondylolisthesis: patient series.; 37910011
Experimental neurology; 2023 Oct 29; ['Sweetman H', 'Rahman M', 'Vedantam A', 'Satkunendrarajah K']; Subclinical respiratory dysfunction and impaired ventilatory adaptation in degenerative cervical myelopathy.; 37907124
Global spine journal; 2023 Oct 30; ['Jiang Z', 'Davies B', 'Zipser C', 'Margetis K', 'Martin A', 'Matsoukas S', 'Zipser-Mohammadzada F', 'Kheram N', 'Boraschi A', 'Zakin E', 'Obadaseraye OR', 'Fehlings MG', 'Wilson J', 'Yurac R', 'Cook CE', 'Milligan J', 'Tabrah J', 'Widdop S', 'Wood L', 'Roberts EA', 'Rujeedawa T', 'Tetreault L', 'AO Spine RECODE-DCM Diagnostic Criteria Incubator']; The value of Clinical signs in the diagnosis of Degenerative Cervical Myelopathy - A Systematic review and Meta-analysis.; 37903098
Journal of medical imaging and radiation sciences; 2023 Oct 25; ['Atchut KA', 'Shetty L', 'Ravichandran K']; Role of diffusion tensor imaging in stenotic and non-stenotic spinal canal.; 37891147
GeroScience; 2023 Oct 25; ['Muhammad F', 'Hameed S', 'Haynes G', 'Mohammadi E', 'Khan AF', 'Shakir H', 'Smith ZA']; Degenerative cervical myelopathy: establishing severity thresholds for neuromotor dysfunction in the aging spine using the NIH Toolbox Assessment Scale.; 37880488
Spine; 2023 Oct 20; ['Ramírez Valencia M', 'Haddad SM', 'Pons Carreto A', 'García de Frutos A', 'Nuñez-Pereira S', 'PelliséUrquiza F']; Translation, adaptation and validation of a Spanish version of the Japanese orthopaedic association cervical myelopathy questionnaire.; 37871230
The Pan African medical journal; 2023 Aug 15; ['Hana H', 'Gnena H', 'Safia O', 'Rym BK', 'Jendoubi A', 'Aymen Z', 'Ouni F', 'Jouini S']; Delayed presentation of spinal cord injury without radiographic abnormality (SCIWORA): a case report.; 37869233
Cureus; 2023 Sep 20; ['Nguyen AN', 'Niu AV', 'Ong LF', 'Lai N']; An Uncommon Presentation of Cervical Myelopathy.; 37868422
The spine journal : official journal of the North American Spine Society; 2023 Oct 21; ['Mandelli F', 'Zhang Y', 'Nüesch C', 'Ewald H', 'Aghlmandi S', 'Halbeisen F', 'Schären S', 'Mündermann A', 'Netzer C']; Gait function assessed using 3D gait analysis in patients with cervical spinal myelopathy before and after surgical decompression: a systematic review and meta-analysis.; 37866484
Journal of craniovertebral junction & spine; 2023 Sep 18; ['Ledesma JA', 'Issa TZ', 'Lambrechts MJ', 'Hiranaka CG', 'Tran K', "O'Connor P", 'Canseco JA', 'Hilibrand AS', 'Kepler CK', 'Albert TJ', 'Vaccaro AR', 'Schroeder GD', 'Anderson DG']; Multilevel ossification of the posterior longitudinal ligament causing cervical myelopathy: An observational series of North American patients.; 37860025
JBJS case connector; 2023 Oct 19; ['Shimizu T', 'Otsuki B', 'Sono T', 'Matsuda S']; Blade-Related Vertebral Fracture After Anterior Cervical Discectomy and Fusion with a Zero-Profile Cage: A Case Report.; 37856621
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia; 2023 Oct 10; ['Rujeedawa T', 'Mowforth OD', 'Brannigan J', 'Magee J', 'Francis JJ', 'Laing RJ', 'Davies BM', 'Kotter MR']; A single centre service evaluation of degenerative cervical and thoracic myelopathy.; 37826868
Neurosurgery; 2023 Oct 12; ['Johansen TO', 'Holmberg ST', 'Danielsen E', 'Rao V', 'Salvesen ØO', 'Andresen H', 'Carmen VLA', 'Solberg TK', 'Gulati S', 'Nygaard ØP']; Long-Term Results After Surgery for Degenerative Cervical Myelopathy.; 37823669
Veterinary pathology; 2023 Oct 11; ['Metcalfe A', 'Dennis MM', 'Ramsay EC', 'Cushing A']; Spinal disease in a captive population of Panthera species: Review of 86 cases (2003-2021).; 37818973
JMIR research protocols; 2023 Oct 9; ['Sangeorzan I', 'Antonacci G', 'Martin A', 'Grodzinski B', 'Zipser CM', 'Murphy RKJ', 'Andriopoulou P', 'Cook CE', 'Anderson DB', 'Guest J', 'Furlan JC', 'Kotter MRN', 'Boerger TF', 'Sadler I', 'Roberts EA', 'Wood H', 'Fraser C', 'Fehlings MG', 'Kumar V', 'Jung J', 'Milligan J', 'Nouri A', 'Martin AR', 'Blizzard T', 'Vialle LR', 'Tetreault L', 'Kalsi-Ryan S', 'MacDowall A', 'Martin-Moore E', 'Burwood M', 'Wood L', 'Lalkhen A', 'Ito M', 'Wilson N', 'Treanor C', 'Dugan S', 'Davies BM']; Toward Shared Decision-Making in Degenerative Cervical Myelopathy: Protocol for a Mixed Methods Study.; 37812472
GeroScience; 2023 Oct 6; ['Khan AF', 'Muhammad F', 'Mohammadi E', "O'Neal C", 'Haynes G', 'Hameed S', 'Walker B', 'Rohan ML', 'Yabluchanskiy A', 'Smith ZA']; Beyond the aging spine - a systematic review of functional changes in the human brain in cervical spondylotic myelopathy.; 37801201
The spine journal : official journal of the North American Spine Society; 2023 Oct 4; ['Karabacak M', 'Margetis K']; Natural language processing reveals research trends and topics in the spine journal over two decades: a topic modeling study.; 37797843
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia; 2023 Sep 30; ['Davies BM', 'Banerjee A', 'Mowforth OD', 'Kotter MRN', 'Newcombe VFJ']; Is the type and/or co-existence of degenerative spinal pathology associated with the occurrence of degenerative cervical myelopathy? A single centre retrospective analysis of individuals with MRI defined cervical cord compression.; 37783068
Clinical spine surgery; 2023 Sep 27; ['Roth SG', 'Robles Ortiz MJ', 'Vulapalli M', 'Riew KD']; Revision Strategies for Cervical Disc Arthroplasty.; 37752631
Orthopaedic surgery; 2023 Sep 25; ['Li Q', 'Hu B', 'Masood U', 'Zhang Z', 'Yang X', 'Liu L', 'Feng G', 'Yang H', 'Song Y']; A Comparison of Corpectomy ACDF Hybrid Procedures with Nano-Hydroxyapatite/Polyamide 66 Cage and Titanium Mesh Cage for Multi-level Degenerative Cervical Myelopathy: A Stepwise Propensity Score Matching Analysis.; 37749767
Frontiers in neurology; 2023 Sep 7; ['Naghdi N', 'Elliott JM', 'Weber MH', 'Fehlings MG', 'Fortin M']; Cervical muscle morphometry and composition demonstrate prognostic value in degenerative cervical myelopathy outcomes.; 37745653
Fluids and barriers of the CNS; 2023 Sep 25; ['Kim HW', 'Yong H', 'Shea GKH']; Blood-spinal cord barrier disruption in degenerative cervical myelopathy.; 37743487
International journal of surgery case reports; 2023 Sep 14; ['Afzal S', 'Komlakh K', 'Targhi NZ', 'Fard SB', 'Shafizadeh E', 'Athari M']; Compressive cervical myelopathy due to calcium pyrophosphate dihydrate deposition in ligamentum flavum: A case report and review of literature.; 37742352
Clinical spine surgery; 2023 Sep 14; ['Yee TJ', 'Mummaneni PV']; Biomechanics of Cervical Disk Replacement: Classifying Arthroplasty Implants.; 37735758
Neurotrauma reports; 2023 Sep 6; ['Uddin T', 'Islam MT', 'Hossain M', 'Hossain MS', 'Salek AKM', 'Islam MJ', 'Haque S', 'Rahim HR', 'Hossain MS', 'Hassanuzzaman M', 'Islam M', 'Khan MUH', 'Ahmed S', 'Mahmud K', 'Hasan MR', 'Tasnim A', 'Haque MA']; Demographic and Clinical Characteristics of Persons With Spinal Cord Injury in Bangladesh: Database for the International Spinal Cord Injury Community Survey 2023.; 37731648
Journal of neurosurgery. Spine; 2023 Aug 18; ['Wilson JRF', 'Badhiwala JH', 'Moghaddamjou A', 'Vaccaro AR', 'Arnold PM', 'Bartels RHMA', 'Barbagallo G', 'Fehlings MG']; Adverse effects of frailty on the outcomes of surgery for degenerative cervical myelopathy: results from a prospective multicenter international data set of 757 patients.; 37728372
BMC medical imaging; 2023 Sep 19; ['Tian A', 'Gao H', 'Wang Z', 'Li N', 'Ma J', 'Guo L', 'Ma X']; Brain structural correlates of postoperative axial pain in degenerative cervical myelopathy patients following posterior cervical decompression surgery: a voxel-based morphometry study.; 37726693
The spine journal : official journal of the North American Spine Society; 2023 Sep 15; ['Li J', 'Zhao R', 'Wang C', 'Guo X', 'Song J', 'Chu X']; Abnormal preoperative fMRI signal variability in the pain ascending pathway is associated with the postoperative axial pain intensity in degenerative cervical myelopathy patients.; 37716550
